Louis XIV a régné sur la France pendant 72 ans; ce qui fait de lui le roi français ayant eu le plus long règne.,Vrai,V,Oui
La dynastie mérovingienne est celle qui a régné le plus longtemps sur la France.,Faux,F,Non
Ayant siégé sur le trône de France pendant 20 minutes; Louis XIX est le roi ayant eu le règne le plus court de la monarchie française.,Vrai,V,Oui
La dynastie des Carolingiens est la première dynastie à avoir gouverné la France.,Faux,F,Non
Charles VIII est mort le 7 avril 1498 après s'être cogné la tête sur un linteau de pierre en se rendant à une partie du jeu de paume.,Vrai,V,Oui
Louis III (864-882) est mort à 18 ans; le 5 août 882; alors qu'il poursuivait un sanglier à cheval.,Faux,F,Non
Le procès de Nuremberg a servi à juger les criminels de guerre nazis.,Vrai,V,Oui
Churchill était à la tête de la Grande-Bretagne au tout début de la Seconde Guerre mondiale.,Faux,F,Non
« L'Axe » est l'autre nom donné aux Alliés.,Faux,F,Non
Six millions de Juifs ont été tués pendant la Guerre. Vrai ou Faux ?,Vrai,V,True
L'empereur japonais Hirohito est mort à la suite de l'explosion à Nagasaki.,Faux,F,Non
En mai 1940; le général Franco; dictateur d'Espagne; attaqua la France qui était alors au bord de la défaite.,Faux,F,Non
Les Britanniques ont envahi l'Islande.,Vrai,V,Oui
La bataille de Stalingrad a été un tournant dans la Seconde Guerre mondiale.,Vrai,V,Oui
